Designator,Mid X,Mid Y,Rotation,Layer
C1,169.3926,-60.5028,0.0,bottom
C10,179.832,-80.7466,270.0,bottom
C11,175.6664,-76.0476,270.0,top
C12,179.324,-84.9884,90.0,bottom
C13,163.1696,-74.6506,270.0,bottom
C14,168.021,-78.6384,0.0,bottom
C15,164.2364,-78.6384,180.0,bottom
C16,162.179,-92.2782,0.0,bottom
C17,162.052,-61.6712,180.0,bottom
C18,150.2537,-77.0128,90.0,bottom
C19,152.4,-77.0128,90.0,bottom
C2,186.4106,-82.7786,270.0,top
C20,148.1074,-77.0128,90.0,bottom
C21,169.3926,-58.5216,0.0,bottom
C3,188.8236,-71.8058,180.0,top
C4,188.8236,-77.3938,0.0,top
C5,181.61,-70.6882,180.0,bottom
C6,175.6664,-72.2376,90.0,top
C7,164.8714,-82.7024,90.0,top
C8,162.1282,-76.835,0.0,top
C9,162.1282,-71.3232,180.0,top
D1,177.673,-94.4626,180.0,bottom
D2,177.5968,-68.5546,270.0,bottom
D3,175.26,-68.5546,270.0,bottom
D4,175.1584,-60.1472,180.0,bottom
D5,191.9986,-67.3862,0.0,top
D6,191.9986,-64.9732,0.0,top
D7,191.9986,-88.6714,0.0,top
D8,191.9986,-86.2584,0.0,top
D9,185.6994,-59.2836,180.0,top
F1,161.0106,-79.6544,270.0,bottom
F2,172.3644,-94.4118,180.0,bottom
F3,171.2214,-79.9084,270.0,bottom
J1,184.503,-88.5698,90.0,bottom
J2,184.503,-75.692,90.0,bottom
J3,174.9298,-92.329,0.0,top
J4,152.187969,-77.0128,270.0,top
J5,174.8028,-61.867851,180.0,top
J6,163.64585,-93.595,0.0,top
J7,160.43275,-60.4012,180.0,top
R1,164.7698,-86.5124,0.0,top
R10,181.61,-72.6948,0.0,bottom
R11,162.1282,-78.867,180.0,top
R12,185.928,-93.3704,180.0,top
R13,185.9534,-91.1352,180.0,top
R14,181.8894,-80.7466,90.0,bottom
R15,177.7746,-80.7466,90.0,bottom
R16,179.6288,-67.8434,180.0,top
R17,183.515,-67.8434,0.0,top
R18,171.1198,-84.9122,270.0,bottom
R19,173.0756,-84.9122,270.0,bottom
R2,168.4782,-86.5124,0.0,top
R20,171.577,-74.4474,270.0,bottom
R21,173.5074,-74.4474,270.0,bottom
R22,161.0106,-74.64,90.0,bottom
R23,186.3598,-60.1472,90.0,bottom
R24,184.3024,-60.1472,270.0,bottom
R25,169.6466,-74.4474,270.0,bottom
R26,185.928,-86.487,0.0,top
R27,185.9026,-61.4934,180.0,top
R3,181.9148,-86.5378,180.0,top
R4,164.6428,-67.818,0.0,top
R5,168.656,-67.818,0.0,top
R6,188.8236,-69.7738,0.0,top
R7,187.4012,-67.3862,180.0,top
R8,187.3758,-65.2018,180.0,top
R9,181.61,-68.6816,0.0,bottom
TP2,147.2946,-88.3158,0.0,top
TP3,147.2946,-65.8622,0.0,top
TP4,150.622,-88.3158,0.0,top
TP5,150.622,-65.8622,0.0,top
U1,176.8856,-74.7268,90.0,bottom
U2,181.5338,-82.6516,90.0,top
U3,181.5592,-74.314,90.0,top
U4,169.7736,-82.7532,270.0,top
U5,169.7736,-74.314,270.0,top
U6,176.1744,-84.8755,0.0,bottom
U7,166.3446,-74.295,180.0,bottom
U8,166.1668,-83.947,270.0,bottom
U9,180.594,-60.2555,0.0,bottom
X1,188.8236,-74.5934,0.0,top
X2,162.3568,-74.06,180.0,top
